2026-06-04 12:2536,Chocolate_Toffee,0.33,1647,68,1760,145
2026-06-04 12:2537,Chocolate_Toffee,0.28,1696,673,1741,708
2026-06-04 12:2538,Chocolate_Toffee,0.29,1695,674,1739,708
2026-06-04 12:2539,Chocolate_Toffee,0.27,1696,673,1739,706
2026-06-04 12:2539,Chocolate_Toffee,0.26,1696,672,1738,706
2026-06-04 12:2539,Chocolate_Toffee,0.26,1696,674,1739,708
2026-06-04 12:2542,Caramel,0.39,525,373,819,496
2026-06-04 12:2542,Caramel,0.46,536,368,822,487
2026-06-04 12:2542,Caramel,0.66,548,369,825,485
2026-06-04 12:2542,Caramel,0.64,560,383,834,500
2026-06-04 12:2542,Caramel,0.71,565,388,834,500
2026-06-04 12:2542,Caramel,0.63,567,392,842,504
2026-06-04 12:2542,Chocolate_Toffee,0.28,1694,674,1738,707
2026-06-04 12:2542,Caramel,0.63,567,392,842,504
2026-06-04 12:2542,Caramel,0.73,568,390,830,499
2026-06-04 12:2542,Caramel,0.76,567,389,832,499
2026-06-04 12:2542,Caramel,0.81,562,388,827,499
2026-06-04 12:2542,Caramel,0.84,562,389,818,498
2026-06-04 12:2543,Caramel,0.78,559,393,823,499
2026-06-04 12:2543,Chocolate_Toffee,0.30,1696,672,1741,708
2026-06-04 12:2543,Caramel,0.80,554,393,824,498
2026-06-04 12:2543,Chocolate_Toffee,0.30,1697,672,1740,709
2026-06-04 12:2543,Caramel,0.71,552,396,822,499
2026-06-04 12:2543,Caramel,0.60,549,398,821,500
2026-06-04 12:2543,Lakris,0.28,551,398,821,502
2026-06-04 12:2543,Chocolate_Toffee,0.27,379,675,1435,1080
2026-06-04 12:2543,Caramel,0.53,547,399,820,506
2026-06-04 12:2543,Caramel,0.47,552,400,821,510
2026-06-04 12:2543,Caramel,0.56,554,402,822,512
2026-06-04 12:2543,Caramel,0.65,557,408,826,515
2026-06-04 12:2543,Caramel,0.71,558,408,826,515
2026-06-04 12:2543,Chocolate_Toffee,0.28,1690,673,1741,709
2026-06-04 12:2543,Caramel,0.78,558,408,828,515
2026-06-04 12:2543,Caramel,0.73,558,408,829,516
2026-06-04 12:2543,Caramel,0.77,560,407,830,516
2026-06-04 12:2543,Chocolate_Toffee,0.27,1693,672,1740,709
2026-06-04 12:2543,Caramel,0.64,560,399,831,511
2026-06-04 12:2543,Caramel,0.67,556,393,847,507
2026-06-04 12:2543,Caramel,0.87,552,381,850,501
2026-06-04 12:2543,Chocolate_Toffee,0.28,1694,671,1740,707
2026-06-04 12:2543,Caramel,0.28,550,370,815,490
2026-06-04 12:2543,Chocolate_Toffee,0.26,1693,671,1740,709
2026-06-04 12:2543,Caramel,0.89,524,349,865,484
2026-06-04 12:2543,Caramel,0.92,514,341,878,479
2026-06-04 12:2544,Caramel,0.91,501,326,896,468
2026-06-04 12:2544,Caramel,0.95,500,317,892,462
2026-06-04 12:2544,Chocolate_Toffee,0.43,421,682,1444,1080
2026-06-04 12:2544,Caramel,0.91,486,302,918,448
2026-06-04 12:2544,Chocolate_Toffee,0.37,472,654,1454,1080
2026-06-04 12:2544,Chocolate_Toffee,0.28,1694,672,1740,709
2026-06-04 12:2544,Caramel,0.90,476,292,938,441
2026-06-04 12:2544,Chocolate_Toffee,0.48,471,647,1454,1080
2026-06-04 12:2544,Caramel,0.96,455,290,912,451
2026-06-04 12:2544,Chocolate_Toffee,0.49,468,636,1456,1080
2026-06-04 12:2544,Caramel,0.47,471,286,798,440
2026-06-04 12:2544,Caramel,0.98,446,292,805,463
2026-06-04 12:2544,Chocolate_Toffee,0.31,473,639,1463,1080
2026-06-04 12:2544,Caramel,0.99,444,291,902,471
2026-06-04 12:2544,Caramel,0.53,460,290,797,460
2026-06-04 12:2544,Chocolate_Toffee,0.39,474,636,1461,1080
2026-06-04 12:2544,Caramel,0.98,450,299,907,476
2026-06-04 12:2544,Chocolate_Toffee,0.48,483,616,1463,1080
2026-06-04 12:2544,Caramel,0.97,451,309,918,482
2026-06-04 12:2544,Chocolate_Toffee,0.38,478,622,1462,1080
2026-06-04 12:2544,Caramel,0.99,444,314,906,489
2026-06-04 12:2544,Chocolate_Toffee,0.40,483,613,1462,1080
2026-06-04 12:2544,Caramel,0.98,437,318,898,494
2026-06-04 12:2544,Chocolate_Toffee,0.50,434,638,1462,1080
2026-06-04 12:2544,Caramel,0.98,436,315,900,493
2026-06-04 12:2544,Chocolate_Toffee,0.27,463,618,1459,1080
2026-06-04 12:2544,Caramel,0.99,439,311,899,486
2026-06-04 12:2544,Chocolate_Toffee,0.47,476,604,1459,1080
2026-06-04 12:2544,Caramel,0.99,440,307,900,482
2026-06-04 12:2544,Chocolate_Toffee,0.53,461,585,1462,1080
2026-06-04 12:2544,Caramel,0.99,440,307,902,479
2026-06-04 12:2544,Chocolate_Toffee,0.58,485,597,1460,1080
2026-06-04 12:2545,Caramel,0.99,441,308,901,485
2026-06-04 12:2545,Chocolate_Toffee,0.60,483,596,1459,1080
2026-06-04 12:2545,Caramel,0.98,438,312,900,492
2026-06-04 12:2545,Chocolate_Toffee,0.40,483,601,1458,1080
2026-06-04 12:2545,Caramel,0.98,437,317,898,496
2026-06-04 12:2545,Chocolate_Toffee,0.50,476,610,1463,1080
2026-06-04 12:2545,Caramel,0.98,437,319,897,500
2026-06-04 12:2545,Chocolate_Toffee,0.49,481,599,1461,1080
2026-06-04 12:2545,Caramel,0.98,437,318,898,500
2026-06-04 12:2545,Chocolate_Toffee,0.50,474,589,1462,1080
2026-06-04 12:2545,Caramel,0.98,437,319,899,498
2026-06-04 12:2545,Chocolate_Toffee,0.60,477,595,1458,1080
2026-06-04 12:2545,Caramel,0.98,435,318,900,496
2026-06-04 12:2545,Chocolate_Toffee,0.48,463,599,1458,1080
2026-06-04 12:2545,Caramel,0.97,436,321,905,499
2026-06-04 12:2545,Chocolate_Toffee,0.52,465,607,1461,1080
2026-06-04 12:2545,Caramel,0.92,437,322,938,501
2026-06-04 12:2545,Chocolate_Toffee,0.38,456,602,1463,1080
2026-06-04 12:2545,Caramel,0.91,442,330,809,507
2026-06-04 12:2545,Chocolate_Toffee,0.57,473,604,1458,1080
2026-06-04 12:2545,Caramel,0.63,478,364,939,560
2026-06-04 12:2545,Chocolate_Toffee,0.29,521,649,1462,1080
2026-06-04 12:2545,Chocolate_Toffee,0.28,1694,671,1743,709
2026-06-04 12:2545,Chocolate_Toffee,0.26,1696,672,1739,707
2026-06-04 12:2546,Chocolate_Toffee,0.41,1697,672,1741,707
2026-06-04 12:2546,Chocolate_Toffee,0.32,1696,672,1741,708
2026-06-04 12:2546,Chocolate_Toffee,0.25,1698,673,1741,709
2026-06-04 12:2546,Chocolate_Toffee,0.28,1695,673,1739,707
2026-06-04 12:2546,Chocolate_Toffee,0.29,1696,673,1740,708
2026-06-04 12:2547,Chocolate_Toffee,0.34,1695,673,1739,708
2026-06-04 12:2547,Chocolate_Toffee,0.31,1697,673,1743,709
2026-06-04 12:2547,Chocolate_Toffee,0.27,1697,673,1740,709
2026-06-04 12:2547,Chocolate_Toffee,0.29,1696,670,1742,708
2026-06-04 12:2547,Chocolate_Toffee,0.25,1695,673,1738,708
2026-06-04 12:2548,Chocolate_Toffee,0.33,1695,673,1739,708
2026-06-04 12:2548,Chocolate_Toffee,0.27,1643,65,1757,143
2026-06-04 12:2548,Chocolate_Toffee,0.31,1696,674,1739,707
2026-06-04 12:2548,Chocolate_Toffee,0.34,1694,675,1738,708
2026-06-04 12:2548,Chocolate_Toffee,0.43,409,511,754,682
2026-06-04 12:2548,Chocolate_Toffee,0.47,413,520,741,685
2026-06-04 12:2548,Chocolate_Toffee,0.26,1696,673,1741,707
2026-06-04 12:2548,Chocolate_Toffee,0.68,404,529,734,695
2026-06-04 12:2548,Chocolate_Toffee,0.70,405,529,794,700
2026-06-04 12:2548,Chocolate_Toffee,0.37,407,529,803,705
2026-06-04 12:2549,Chocolate_Toffee,0.26,1693,673,1742,710
2026-06-04 12:2549,Chocolate_Toffee,0.37,401,504,740,682
2026-06-04 12:2549,Chocolate_Toffee,0.43,401,505,686,681
2026-06-04 12:2549,Chocolate_Toffee,0.44,409,524,684,691
2026-06-04 12:2551,Nougat_Crisp,0.25,1300,692,1453,747
2026-06-04 12:2551,Nougat_Crisp,0.32,1232,686,1457,801
2026-06-04 12:2551,Nougat_Crisp,0.45,1248,680,1466,804
2026-06-04 12:2551,Nougat_Crisp,0.28,1300,696,1517,794
2026-06-04 12:2551,Nougat_Crisp,0.37,1284,718,1551,853
2026-06-04 12:2551,Nougat_Crisp,0.65,1315,736,1596,854
2026-06-04 12:2551,Nougat_Crisp,0.39,1336,746,1622,857
2026-06-04 12:2553,Nougat_Crisp,0.30,1482,680,1739,783
2026-06-04 12:2554,Lakris,0.26,815,687,946,730
2026-06-04 12:2602,Chocolate_Toffee,0.36,2,497,1451,1080
2026-06-04 12:2602,Chocolate_Toffee,0.45,3,411,649,669
2026-06-04 12:2602,Chocolate_Toffee,0.69,0,404,635,652
2026-06-04 12:2602,Chocolate_Toffee,0.57,5,399,632,622
2026-06-04 12:2602,Chocolate_Toffee,0.67,0,387,641,635
2026-06-04 12:2602,Chocolate_Toffee,0.42,59,392,656,616
2026-06-04 12:2603,Chocolate_Toffee,0.31,450,233,1112,507
2026-06-04 12:2603,Daim,0.29,453,223,1111,501
2026-06-04 12:2603,Chocolate_Toffee,0.48,662,267,1417,626
2026-06-04 12:2603,Chocolate_Toffee,0.65,677,255,1425,586
2026-06-04 12:2603,Chocolate_Toffee,0.58,671,250,1427,590
2026-06-04 12:2603,Chocolate_Toffee,0.79,673,249,1427,613
2026-06-04 12:2603,Chocolate_Toffee,0.82,667,248,1432,616
2026-06-04 12:2603,Chocolate_Toffee,0.56,662,249,1438,619
2026-06-04 12:2603,Chocolate_Toffee,0.79,682,256,1442,588
2026-06-04 12:2603,Chocolate_Toffee,0.86,675,254,1451,604
2026-06-04 12:2603,Chocolate_Toffee,0.79,690,271,1456,607
2026-06-04 12:2603,Chocolate_Toffee,0.66,690,265,1462,617
2026-06-04 12:2604,Chocolate_Toffee,0.75,686,253,1466,620
2026-06-04 12:2604,Chocolate_Toffee,0.70,684,250,1463,625
2026-06-04 12:2604,Chocolate_Toffee,0.73,685,270,1459,617
2026-06-04 12:2604,Chocolate_Toffee,0.77,683,250,1462,620
2026-06-04 12:2604,Chocolate_Toffee,0.73,680,268,1458,616
2026-06-04 12:2604,Chocolate_Toffee,0.76,684,256,1453,611
